participant_id,experiment,item,cond,presentation_order,literal_response,response,timestamp,english_first_language,country_of_birth
614e2cd1989a33f47e767420,filler,6,filler,30,Yes,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,dopo,7,PO_implausible,31,Yes,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,filler,20,filler,32,Yes,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,filler,24,filler,33,Yes,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,dopo,2,DO_implausible,34,No,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,filler,37,filler,35,No,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,filler,23,filler,36,Yes,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,filler,44,filler,37,No,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,dopo,14,DO_plausible,38,No,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,filler,33,filler,39,No,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,filler,32,filler,40,No,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,filler,38,filler,41,No,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,filler,45,filler,42,No,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,filler,13,filler,43,Yes,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,dopo,15,PO_plausible,44,No,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,filler,25,filler,45,No,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,filler,26,filler,46,No,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,dopo,20,DO_plausible,47,Yes,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,filler,34,filler,48,No,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,filler,18,filler,49,Yes,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,filler,11,filler,50,Yes,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,filler,9,filler,51,Yes,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,filler,12,filler,52,Yes,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicyes.png?raw=true"" width=""25” height =""25"">",2023-05-12 03:22:52,Yes,United States
614e2cd1989a33f47e767420,act-pass2,5,passive_v2,53,No,"<img src=""https://github.com/Shaunticlair/959-project/blob/main/comicno.png?raw=true"" width=""20” height =""30"">",2023-05-12 03:22:52,Yes,United States
