participant_id,experiment,item,cond,presentation_order,literal_response,response,timestamp,any_questions,english_first_language,country_of_birth
60ae82af22dbbb87e6a07cc5,dopo,11,PO_plausible,0,No,No,2023-05-14 21:27:51,NA,Yes,United States
60ae82af22dbbb87e6a07cc5,dopo,1,PO_implausible,1,No,No,2023-05-14 21:27:51,NA,Yes,United States
60ae82af22dbbb87e6a07cc5,act-pass2,6,active_v1,2,Yes,Yes,2023-05-14 21:27:51,NA,Yes,United States
60ae82af22dbbb87e6a07cc5,filler,4,filler,3,Yes,Yes,2023-05-14 21:27:51,NA,Yes,United States
60ae82af22dbbb87e6a07cc5,dopo,12,PO_implausible,4,Yes,Yes,2023-05-14 21:27:51,NA,Yes,United States
60ae82af22dbbb87e6a07cc5,filler,18,filler,5,Yes,Yes,2023-05-14 21:27:51,NA,Yes,United States
60ae82af22dbbb87e6a07cc5,dopo,5,PO_plausible,6,Yes,Yes,2023-05-14 21:27:51,NA,Yes,United States
60ae82af22dbbb87e6a07cc5,dopo,20,PO_implausible,7,No,No,2023-05-14 21:27:51,NA,Yes,United States
60ae82af22dbbb87e6a07cc5,dopo,2,DO_implausible,8,No,No,2023-05-14 21:27:51,NA,Yes,United States
60ae82af22dbbb87e6a07cc5,act-pass2,9,passive_v2,9,No,No,2023-05-14 21:27:51,NA,Yes,United States
60ae82af22dbbb87e6a07cc5,filler,36,filler,10,No,No,2023-05-14 21:27:51,NA,Yes,United States
60ae82af22dbbb87e6a07cc5,filler,31,filler,11,No,No,2023-05-14 21:27:51,NA,Yes,United States
60ae82af22dbbb87e6a07cc5,act-pass2,1,active_v2,12,Yes,Yes,2023-05-14 21:27:51,NA,Yes,United States
60ae82af22dbbb87e6a07cc5,filler,45,filler,13,No,No,2023-05-14 21:27:51,NA,Yes,United States
60ae82af22dbbb87e6a07cc5,filler,28,filler,14,No,No,2023-05-14 21:27:51,NA,Yes,United States
60ae82af22dbbb87e6a07cc5,filler,37,filler,15,No,No,2023-05-14 21:27:51,NA,Yes,United States
60ae82af22dbbb87e6a07cc5,act-pass2,3,active_v2,16,Yes,Yes,2023-05-14 21:27:51,NA,Yes,United States
60ae82af22dbbb87e6a07cc5,dopo,8,DO_plausible,17,No,No,2023-05-14 21:27:51,NA,Yes,United States
60ae82af22dbbb87e6a07cc5,filler,13,filler,18,Yes,Yes,2023-05-14 21:27:51,NA,Yes,United States
60ae82af22dbbb87e6a07cc5,dopo,4,DO_implausible,19,No,No,2023-05-14 21:27:51,NA,Yes,United States
60ae82af22dbbb87e6a07cc5,filler,26,filler,20,No,No,2023-05-14 21:27:51,NA,Yes,United States
60ae82af22dbbb87e6a07cc5,filler,2,filler,21,Yes,Yes,2023-05-14 21:27:51,NA,Yes,United States
60ae82af22dbbb87e6a07cc5,filler,33,filler,22,No,No,2023-05-14 21:27:51,NA,Yes,United States
60ae82af22dbbb87e6a07cc5,filler,35,filler,23,No,No,2023-05-14 21:27:51,NA,Yes,United States
60ae82af22dbbb87e6a07cc5,filler,6,filler,24,Yes,Yes,2023-05-14 21:27:51,NA,Yes,United States
60ae82af22dbbb87e6a07cc5,filler,38,filler,25,No,No,2023-05-14 21:27:51,NA,Yes,United States
60ae82af22dbbb87e6a07cc5,filler,27,filler,26,No,No,2023-05-14 21:27:51,NA,Yes,United States
60ae82af22dbbb87e6a07cc5,dopo,6,DO_plausible,27,No,No,2023-05-14 21:27:51,NA,Yes,United States
60ae82af22dbbb87e6a07cc5,filler,24,filler,28,Yes,Yes,2023-05-14 21:27:51,NA,Yes,United States
60ae82af22dbbb87e6a07cc5,filler,21,filler,29,Yes,Yes,2023-05-14 21:27:51,NA,Yes,United States
60ae82af22dbbb87e6a07cc5,dopo,10,PO_implausible,30,Yes,Yes,2023-05-14 21:27:51,NA,Yes,United States
60ae82af22dbbb87e6a07cc5,act-pass2,2,passive_v2,31,Yes,Yes,2023-05-14 21:27:51,NA,Yes,United States
60ae82af22dbbb87e6a07cc5,act-pass2,7,passive_v1,32,Yes,Yes,2023-05-14 21:27:51,NA,Yes,United States
